date;n_access
01/01/2012;11409561
01/02/2012;11129194
01/03/2012;10717098
01/04/2012;10541190
01/05/2012;12921915
01/06/2012;13863208
01/07/2012;12272477
01/08/2012;9756105
01/09/2012;10142023
01/10/2012;13842919
01/11/2012;10413386
01/12/2012;10717895
01/01/2013;10771276
01/02/2013;10675592
01/03/2013;13833021
01/04/2013;20663451
01/05/2013;10629459
01/06/2013;10464856
01/07/2013;25235486
01/08/2013;30325968
01/09/2013;21077457
01/10/2013;20809589
01/11/2013;17878057
01/12/2013;18114675
01/01/2014;14907046
01/02/2014;14067065
01/03/2014;14326593
01/04/2014;14368787
01/05/2014;14377575
01/06/2014;14281689
01/07/2014;14383070
01/08/2014;15384818
01/09/2014;15689650
01/10/2014;17536713
01/11/2014;25279534
01/12/2014;15601371
01/01/2015;15242015
01/02/2015;15272373
01/03/2015;15300299
01/04/2015;13701421
01/05/2015;13089615
01/06/2015;13085821
01/07/2015;13136121
01/08/2015;13339404
01/09/2015;13365843
01/10/2015;13484310
01/11/2015;13786621
01/12/2015;21291517
01/01/2016;21194481
01/02/2016;21403875
01/03/2016;21780594
01/04/2016;25225171
01/05/2016;24902714
01/06/2016;25062726
01/07/2016;25304990
01/08/2016;25123811
01/09/2016;24933131
01/10/2016;25523990
01/11/2016;25696821
01/12/2016;26833593
01/01/2017;27092851
01/02/2017;28090878
01/03/2017;29357943
01/04/2017;32437236
01/05/2017;32875713
01/06/2017;35619587
01/07/2017;33347994
01/08/2017;42092467
01/09/2017;36096786
01/10/2017;35421310
01/11/2017;36808292
01/12/2017;37392134
01/01/2018;37297402
01/02/2018;38643408
01/03/2018;35481401
01/04/2018;35897134
01/05/2018;35906748
01/06/2018;23636365
01/07/2018;45930195
01/08/2018;42743191
01/09/2018;42532134
01/10/2018;48340218
01/11/2018;48745195
01/12/2018;49458057
01/01/2019;52334900
01/02/2019;53221559
01/03/2019;52004800
01/04/2019;51527132
01/05/2019;51698881
01/06/2019;49271217
01/07/2019;48165484
01/08/2019;47772258
01/09/2019;51030913
01/10/2019;49116480
01/11/2019;47554666
01/12/2019;50644527
01/01/2020;51548536
01/02/2020;50547908
01/03/2020;50519274
01/04/2020;49746406
01/05/2020;57721006
01/06/2020;59506547
01/07/2020;58870569
01/08/2020;67292322
01/09/2020;70208952
01/10/2020;69235972
01/11/2020;71658712
01/12/2020;79491942
01/01/2021;78682326
01/02/2021;77871418
01/03/2021;78310163
01/04/2021;85111024
01/05/2021;82396757
01/06/2021;84503498
01/07/2021;88216370
01/08/2021;87369426
01/09/2021;85103643
01/10/2021;86994380
01/11/2021;86170112
01/12/2021;88927740
01/01/2022;92456938
01/02/2022;74716886
01/03/2022;74109560
01/04/2022;72106783
01/05/2022;71369003
01/06/2022;70836218
01/07/2022;72951435
01/08/2022;74146547
01/09/2022;76095193
01/10/2022;71384415
01/11/2022;69114648
01/12/2022;68766740
